Timestamp: 2016.05.06.10.08.16 Training stats(EspLC):
P=0.8709 R=0.8722 F=0.8716
P=0.8740 R=0.8771 F=0.8756
P=0.8760 R=0.8778 F=0.8769
P=0.8791 R=0.8809 F=0.8800
P=0.8807 R=0.8825 F=0.8816
P=0.8825 R=0.8842 F=0.8833
P=0.8834 R=0.8872 F=0.8853
P=0.8855 R=0.8895 F=0.8875
P=0.8874 R=0.8918 F=0.8896
P=0.8893 R=0.8926 F=0.8909
P=0.8914 R=0.8937 F=0.8925
P=0.8931 R=0.8947 F=0.8939
P=0.8937 R=0.8969 F=0.8953
P=0.8935 R=0.8976 F=0.8955
P=0.8944 R=0.8992 F=0.8968
P=0.8956 R=0.9010 F=0.8983
P=0.8967 R=0.9010 F=0.8988
P=0.8992 R=0.9028 F=0.9010
P=0.9016 R=0.9052 F=0.9034
P=0.9021 R=0.9053 F=0.9037
P=0.9029 R=0.9058 F=0.9044
P=0.9033 R=0.9064 F=0.9049
P=0.9047 R=0.9076 F=0.9061
P=0.9041 R=0.9087 F=0.9064
P=0.9058 R=0.9098 F=0.9078
P=0.9054 R=0.9096 F=0.9075
P=0.9048 R=0.9095 F=0.9071
P=0.9045 R=0.9097 F=0.9071
P=0.9070 R=0.9112 F=0.9091
P=0.9074 R=0.9112 F=0.9093
P=0.9081 R=0.9118 F=0.9099
P=0.9071 R=0.9114 F=0.9092
P=0.9085 R=0.9118 F=0.9101
P=0.9087 R=0.9126 F=0.9107
P=0.9106 R=0.9036 F=0.9071
*
*
Timestamp: 2016.05.09.10.51.29 Training stats:
P=0.8105 R=0.7961 F=0.8032
P=0.8203 R=0.8170 F=0.8187
P=0.8302 R=0.8296 F=0.8299
P=0.8339 R=0.8379 F=0.8359
P=0.8407 R=0.8403 F=0.8405
P=0.8451 R=0.8426 F=0.8438
P=0.8515 R=0.8499 F=0.8507
P=0.8550 R=0.8527 F=0.8538
P=0.8561 R=0.8532 F=0.8546
P=0.8568 R=0.8557 F=0.8562
P=0.8604 R=0.8624 F=0.8614
P=0.8625 R=0.8639 F=0.8632
P=0.8656 R=0.8664 F=0.8660
P=0.8682 R=0.8685 F=0.8684
P=0.8694 R=0.8703 F=0.8698
P=0.8698 R=0.8713 F=0.8705
P=0.8730 R=0.8755 F=0.8742
P=0.8744 R=0.8791 F=0.8768
P=0.8763 R=0.8805 F=0.8784
P=0.8789 R=0.8822 F=0.8805
P=0.8805 R=0.8835 F=0.8820
P=0.8808 R=0.8847 F=0.8828
P=0.8819 R=0.8869 F=0.8844
P=0.8822 R=0.8872 F=0.8847
P=0.8830 R=0.8885 F=0.8857
P=0.8856 R=0.8907 F=0.8881
P=0.8854 R=0.8919 F=0.8886
P=0.8876 R=0.8930 F=0.8903
P=0.8889 R=0.8933 F=0.8911
P=0.8884 R=0.8914 F=0.8899
P=0.8890 R=0.8925 F=0.8907
P=0.8891 R=0.8918 F=0.8904
P=0.8892 R=0.8916 F=0.8904
P=0.8895 R=0.8922 F=0.8908
P=0.8903 R=0.8928 F=0.8915
P=0.8914 R=0.8945 F=0.8930
P=0.8929 R=0.8956 F=0.8942
P=0.8938 R=0.8976 F=0.8957
P=0.8934 R=0.8979 F=0.8956
P=0.8952 R=0.8990 F=0.8971
P=0.8953 R=0.8995 F=0.8974
P=0.8957 R=0.8998 F=0.8978
